id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
5174375,1/26/15,Apartment,Private room,$200.00,1,20,0.13
4416362,1/9/13,House,Entire home/apt,$759.00,2,20,0.22
8482616,3/14/14,Apartment,Entire home/apt,$69.00,1,20,1
4438367,10/27/14,Apartment,Entire home/apt,$350.00,1,20,0.13
6693125,5/31/15,Apartment,Private room,$45.00,1,20,0.2
4248605,1/9/13,House,Entire home/apt,$459.00,2,20,0.21
9211135,10/20/15,Apartment,Shared room,$17.00,1,20,1
5477056,8/14/12,Apartment,Entire home/apt,$35.00,4,35,0.63
7074646,2/12/12,House,Entire home/apt,$499.00,1,40,1
359976,2/27/12,Cabin,Private room,$225.00,1,50,0.05
3021495,11/14/12,House,Entire home/apt,$295.00,4,53,0.26
956613,7/10/12,Camper/RV,Entire home/apt,$75.00,1,54,0.05
8172241,8/22/15,Apartment,Private room,$28.00,5,56,2.78
5839837,1/13/14,House,Private room,$50.00,1,60,1
1002993,3/18/13,House,Entire home/apt,$156.00,1,60,1
3155735,5/4/14,House,Entire home/apt,$300.00,2,60,0.26
4089452,2/13/13,House,Entire home/apt,$200.00,1,60,0.83
6198247,6/26/13,House,Private room,$75.00,2,60,0.37
4446280,1/9/13,House,Entire home/apt,$650.00,1,60,0.36
4463099,1/9/13,House,Entire home/apt,$799.00,3,60,0.5
699018,9/16/12,House,Entire home/apt,$143.00,2,60,0.06
5640410,3/12/15,House,Private room,$75.00,4,60,0.51
6796603,4/13/15,House,Entire home/apt,$599.00,1,60,0.33
8566839,7/15/15,House,Shared room,$25.00,1,60,1
6433042,3/19/15,House,Private room,$35.00,1,60,0.18
6973708,10/4/11,House,Entire home/apt,$130.00,1,60,0.31
1773370,10/8/13,Apartment,Entire home/apt,$300.00,2,60,1.76
5444476,1/14/15,Apartment,Entire home/apt,$225.00,2,60,0.26
5518768,1/24/13,House,Entire home/apt,$165.00,1,60,1
5414227,2/19/15,House,Entire home/apt,$199.00,1,60,0.13
6210227,3/15/15,Apartment,Private room,$35.00,3,60,0.52
6235984,1/23/12,Apartment,Entire home/apt,$75.00,1,60,0.24
8101031,4/13/12,Apartment,Entire home/apt,$99.00,1,60,0.54
5338832,2/12/15,House,Entire home/apt,$120.00,1,60,0.13
7912974,8/31/12,House,Private room,$45.00,3,67,1.53
8069972,1/27/15,Apartment,Entire home/apt,$95.00,3,67,1.88
4267075,1/9/13,House,Entire home/apt,$299.00,4,67,0.31
429368,3/4/11,House,Entire home/apt,$425.00,3,67,0.23
4516994,4/23/13,Apartment,Entire home/apt,$115.00,5,68,0.44
2578898,3/17/14,House,Entire home/apt,$99.00,7,68,0.5
6328166,5/8/15,Apartment,Entire home/apt,$65.00,9,69,1.56
