id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
7693354,2/22/15,House,Private room,$75.00,20,93,13.04
5892953,7/7/14,Condominium,Private room,$95.00,64,95,12.31
6954861,6/22/15,Apartment,Private room,$85.00,12,100,12
7713728,6/3/15,Apartment,Entire home/apt,$275.00,19,98,11.88
7281884,1/7/15,House,Entire home/apt,$98.00,27,96,11.41
6870366,3/21/14,Apartment,Private room,$84.00,31,95,10.57
6676364,3/21/14,Condominium,Private room,$84.00,42,97,10.41
5709298,3/25/12,Apartment,Entire home/apt,$190.00,62,98,10.22
6142396,4/24/15,Apartment,Shared room,$50.00,30,95,9.78
6565713,5/27/15,Apartment,Entire home/apt,$300.00,30,94,9.78
4903476,12/27/14,Apartment,Private room,$120.00,16,93,9.41
6744206,11/19/12,Apartment,Private room,$75.00,30,92,9.28
4820071,3/15/10,Apartment,Private room,$105.00,85,96,9.27
7287822,7/8/14,Apartment,Entire home/apt,$95.00,15,100,9.18
4623630,5/13/14,Condominium,Private room,$115.00,95,96,9.13
8131410,4/21/13,Apartment,Private room,$75.00,9,96,9
7277653,3/28/15,Apartment,Private room,$79.00,9,96,9
4934600,12/31/14,House,Entire home/apt,$146.00,15,96,9
8036024,8/24/15,Condominium,Entire home/apt,$150.00,9,100,9
7714627,8/27/14,Apartment,Entire home/apt,$205.00,9,98,9
5672200,11/6/14,Apartment,Entire home/apt,$190.00,42,98,8.81
5916598,12/27/13,House,Entire home/apt,$100.00,52,95,8.76
5940866,3/2/14,House,Private room,$65.00,45,96,8.71
7082775,6/30/15,Apartment,Private room,$122.00,24,83,8.57
6006121,11/1/14,Apartment,Private room,$144.00,44,92,8.57
6625337,5/31/15,Apartment,Entire home/apt,$210.00,34,96,8.57
7692933,10/18/13,Townhouse,Private room,$59.00,12,100,8.37
2776143,12/21/10,Apartment,Entire home/apt,$99.00,148,80,8.35
6554785,2/21/15,Apartment,Entire home/apt,$150.00,30,95,8.33
7003280,6/17/15,Apartment,Entire home/apt,$150.00,25,94,8.33
1670635,7/13/11,Apartment,Entire home/apt,$170.00,205,96,8.28
4359160,12/21/10,Apartment,Entire home/apt,$99.00,93,74,8.25
1497879,6/28/12,Apartment,Entire home/apt,$89.00,206,90,8.13
3992208,12/21/10,Apartment,Entire home/apt,$99.00,106,78,8.09
6765855,4/18/14,Apartment,Private room,$80.00,30,97,8.04
5882411,7/24/14,Condominium,Private room,$94.00,45,95,8.04
8205283,3/5/14,Apartment,Shared room,$50.00,8,63,8
8271384,9/7/15,Apartment,Entire home/apt,$150.00,8,98,8
6924700,8/26/14,Apartment,Entire home/apt,$265.00,24,95,8
8052617,9/10/14,Condominium,Entire home/apt,$275.00,8,94,8
5967637,12/26/14,Bed & Breakfast,Private room,$150.00,43,88,7.96
2795342,4/15/14,Apartment,Private room,$159.00,128,94,7.89
4695542,11/19/14,Apartment,Private room,$79.00,73,83,7.88
6657722,6/2/15,Apartment,Private room,$120.00,31,87,7.88
4428586,7/3/14,Apartment,Private room,$70.00,86,96,7.87
4828640,9/4/13,House,Private room,$75.00,22,93,7.86
4090224,7/7/14,House,Entire home/apt,$225.00,94,96,7.81
3988018,12/7/11,Apartment,Private room,$75.00,101,96,7.73
6742905,12/21/10,Apartment,Entire home/apt,$99.00,29,66,7.7
6089865,9/21/12,Apartment,Entire home/apt,$125.00,40,95,7.69
5546594,5/23/14,Apartment,Private room,$65.00,52,94,7.68
6911096,6/19/15,Apartment,Entire home/apt,$325.00,23,78,7.67
6475045,6/14/14,Apartment,Private room,$75.00,30,86,7.5
7954270,10/13/13,Apartment,Private room,$79.00,10,100,7.5
4765070,12/7/14,House,Entire home/apt,$90.00,69,91,7.5
7996844,6/11/11,Apartment,Private room,$130.00,8,85,7.5
7124590,7/16/11,Apartment,Entire home/apt,$199.00,20,95,7.5
2227959,3/25/12,Apartment,Private room,$65.00,98,92,7.46
682093,9/4/12,House,Private room,$85.00,275,99,7.42
4568116,1/12/14,Apartment,Entire home/apt,$154.00,79,94,7.41
7310887,7/13/15,Apartment,Entire home/apt,$224.00,16,98,7.38
815639,9/21/12,Apartment,Entire home/apt,$125.00,208,90,7.34
6134867,8/26/14,Apartment,Entire home/apt,$375.00,37,90,7.3
6933545,5/13/14,Apartment,Private room,$68.00,25,89,7.28
2392462,2/13/14,Apartment,Private room,$80.00,15,93,7.26
591248,7/13/11,Apartment,Private room,$48.00,270,96,7.23
5757612,3/23/15,Apartment,Entire home/apt,$140.00,45,95,7.22
5525121,5/5/14,House,Private room,$75.00,50,86,7.18
5525556,5/5/14,House,Private room,$75.00,49,89,7.17
3012529,3/25/12,Apartment,Private room,$75.00,118,92,7.09
6741968,3/3/15,Apartment,Entire home/apt,$249.00,26,98,7.09
4025194,12/7/11,Apartment,Private room,$75.00,91,97,7.07
6452246,4/7/14,Apartment,Private room,$149.00,8,100,7.06
3775072,8/1/14,Apartment,Private room,$35.00,7,97,7
753446,10/24/12,Condominium,Private room,$58.00,7,91,7
7834063,8/2/15,Apartment,Private room,$80.00,7,73,7
8238404,3/5/15,House,Private room,$99.00,7,97,7
7910223,4/2/15,Apartment,Entire home/apt,$125.00,7,94,7
7784639,6/21/13,Apartment,Entire home/apt,$210.00,7,97,7
1695275,12/21/10,Apartment,Entire home/apt,$99.00,168,76,6.89
