id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
8115677,8/29/15,Apartment,Private room,$45.00,14,100,14
7476702,7/21/15,Condominium,Private room,$95.00,19,97,11.63
7327013,7/13/15,House,Private room,$35.00,14,99,11.35
7710315,6/7/15,Apartment,Private room,$35.00,20,93,11.11
7708153,7/13/15,House,Shared room,$15.00,20,96,10.91
5851766,6/12/14,Apartment,Private room,$76.00,62,98,10.39
7180441,3/15/14,Apartment,Entire home/apt,$90.00,14,95,10
7810018,7/22/15,Apartment,Entire home/apt,$99.00,10,96,10
6364938,9/13/14,House,Private room,$45.00,15,88,10
7199453,7/6/15,Apartment,Private room,$50.00,26,98,9.63
3016830,1/16/14,Apartment,Private room,$58.00,22,96,9.57
7092455,6/30/15,Apartment,Entire home/apt,$95.00,21,92,9.55
7125815,7/2/15,Apartment,Shared room,$49.00,29,87,9.35
7646370,6/7/15,Apartment,Shared room,$25.00,18,97,9.31
6620933,10/30/13,Apartment,Private room,$70.00,36,93,9.08
7197783,7/6/15,Apartment,Private room,$75.00,21,97,9
1830728,2/7/12,Apartment,Private room,$61.00,44,95,8.92
6212418,11/4/12,Apartment,Entire home/apt,$70.00,40,99,8.76
6925155,10/30/13,Apartment,Private room,$70.00,29,90,8.53
4567371,11/12/14,Apartment,Private room,$89.00,76,97,8.51
7547075,6/19/14,Apartment,Private room,$40.00,17,86,8.5
6822931,5/27/13,Apartment,Private room,$79.00,28,97,8.48
7827250,8/5/15,Apartment,Private room,$56.00,11,91,8.46
6499322,5/20/15,Apartment,Private room,$60.00,34,96,8.43
7497203,7/22/15,Apartment,Entire home/apt,$99.00,19,99,8.38
7921040,2/5/13,Apartment,Entire home/apt,$79.00,12,92,8.37
7546307,5/28/13,Apartment,Entire home/apt,$189.00,17,98,8.36
6247879,11/2/14,Apartment,Entire home/apt,$79.00,38,86,8.32
5832943,1/20/13,Apartment,Entire home/apt,$107.00,50,95,8.29
7900211,8/16/15,Apartment,Private room,$99.00,10,94,8.11
6504170,1/4/13,Apartment,Entire home/apt,$155.00,34,97,8.1
7596979,7/28/15,Apartment,Entire home/apt,$125.00,17,91,8.1
6261301,5/3/15,Apartment,Entire home/apt,$168.00,39,97,8.07
7441247,7/20/15,Apartment,Private room,$60.00,19,97,8.03
7507189,7/22/15,House,Private room,$60.00,8,100,8
8013828,8/23/15,Apartment,Private room,$60.00,9,98,7.94
6706736,4/30/15,Apartment,Entire home/apt,$95.00,29,88,7.91
7282445,4/30/15,Apartment,Entire home/apt,$130.00,15,89,7.89
6448319,1/27/15,Apartment,Entire home/apt,$158.00,35,89,7.89
7087130,5/29/15,Apartment,Private room,$150.00,22,98,7.86
3217145,6/2/14,Apartment,Private room,$93.00,126,96,7.86
7437770,12/4/14,Apartment,Private room,$83.00,11,100,7.86
6884326,6/17/15,House,Private room,$82.00,28,92,7.85
7807249,5/11/13,Apartment,Private room,$53.00,13,94,7.8
6993104,6/24/15,Apartment,Private room,$31.00,23,93,7.75
5042164,9/13/11,Apartment,Entire home/apt,$120.00,54,94,7.71
7896104,9/11/14,Other,Private room,$65.00,11,96,7.67
5985679,9/13/11,Apartment,Entire home/apt,$120.00,36,90,7.66
4267901,10/12/13,Apartment,Private room,$135.00,56,94,7.64
6216191,4/30/15,Apartment,Entire home/apt,$135.00,32,96,7.62
7727551,4/30/14,Apartment,Private room,$65.00,12,98,7.5
5085454,11/16/11,Apartment,Entire home/apt,$175.00,58,97,7.47
5862648,7/25/13,Apartment,Entire home/apt,$125.00,45,88,7.46
6202301,11/2/13,Apartment,Shared room,$47.00,33,90,7.44
4886083,12/23/14,Apartment,Entire home/apt,$145.00,27,92,7.43
6706187,10/3/14,Apartment,Entire home/apt,$149.00,28,90,7.43
6090148,3/29/14,Apartment,Private room,$75.00,38,89,7.4
1203039,9/13/11,Apartment,Entire home/apt,$140.00,207,92,7.38
