id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
6492476,5/21/15,Apartment,Entire home/apt,$115.00,30,97,10.98
4558222,11/11/14,Apartment,Entire home/apt,$99.00,118,91,10.86
7635699,5/14/15,Apartment,Private room,$68.00,16,96,10.43
6881600,1/1/15,Apartment,Entire home/apt,$179.00,35,98,10.4
7910362,3/4/12,Apartment,Private room,$115.00,10,98,10
7344961,11/3/13,House,Private room,$75.00,26,96,9.87
5132940,10/7/14,House,Private room,$79.00,74,96,9.53
7582828,4/23/15,House,Private room,$69.00,19,98,9.5
6089077,4/20/15,Apartment,Entire home/apt,$175.00,48,89,9.47
6923607,5/12/11,Apartment,Entire home/apt,$115.00,30,93,9.38
7368860,6/12/15,Townhouse,Private room,$59.00,18,98,9.31
2038472,12/3/13,Apartment,Entire home/apt,$120.00,199,96,9.27
5503750,5/24/14,House,Private room,$90.00,55,98,9.07
3987789,9/14/11,Apartment,Entire home/apt,$125.00,116,94,8.95
6311308,5/8/13,House,Private room,$42.00,17,98,8.79
5785467,10/12/14,House,Private room,$47.00,50,99,8.77
1170249,5/15/13,House,Private room,$105.00,245,92,8.72
7775008,11/3/13,House,Private room,$70.00,15,95,8.65
4987922,5/10/14,Apartment,Entire home/apt,$142.00,74,96,8.64
7274179,7/10/15,Apartment,Entire home/apt,$100.00,12,98,8.57
7967982,6/10/15,Apartment,Entire home/apt,$129.00,10,100,8.57
5862599,7/15/12,Apartment,Entire home/apt,$295.00,43,94,8.43
7084819,6/11/15,Apartment,Entire home/apt,$116.00,25,97,8.43
3964658,8/26/14,Apartment,Entire home/apt,$115.00,92,96,8.39
7526820,11/3/13,House,Private room,$75.00,19,96,8.38
7361439,6/10/15,Apartment,Entire home/apt,$135.00,13,95,8.3
5170533,1/4/15,House,Private room,$59.00,66,88,8.18
4730124,12/2/14,House,Private room,$65.00,51,98,8.18
4392242,8/6/14,Apartment,Entire home/apt,$120.00,89,99,8.09
6327217,11/11/14,Apartment,Entire home/apt,$99.00,38,94,7.86
7860331,10/5/13,Apartment,Private room,$75.00,12,92,7.83
5020383,11/11/14,Apartment,Entire home/apt,$150.00,53,93,7.72
5404102,2/19/15,Apartment,Entire home/apt,$99.00,39,96,7.7
7194519,9/10/14,Apartment,Private room,$111.00,18,84,7.61
5755232,11/20/13,Apartment,Entire home/apt,$115.00,49,99,7.58
4916684,12/7/14,Apartment,Entire home/apt,$138.00,68,96,7.56
5762674,3/23/15,Apartment,Private room,$71.00,46,90,7.54
453315,4/29/12,Apartment,Entire home/apt,$89.00,310,97,7.51
5269442,1/10/12,House,Private room,$90.00,9,95,7.5
805961,11/25/12,Apartment,Entire home/apt,$80.00,19,89,7.4
5730369,3/20/15,House,Private room,$40.00,46,85,7.38
4284144,1/15/11,Apartment,Entire home/apt,$136.00,41,98,7.37
7649299,7/28/15,Apartment,Entire home/apt,$79.00,10,89,7.32
5363549,7/16/14,Apartment,Entire home/apt,$140.00,36,93,7.3
5495646,5/17/14,Apartment,Entire home/apt,$100.00,34,100,7.29
2791050,4/14/14,House,Private room,$80.00,122,98,7.29
