id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
6451264,5/18/15,Apartment,Entire home/apt,$143.00,169,98,14.7
12176503,4/1/16,Apartment,Private room,$59.00,13,95,13
11803756,3/14/16,Apartment,Private room,$65.00,17,93,12.44
7134602,7/3/15,Apartment,Entire home/apt,$80.00,116,95,12.3
8089329,8/25/15,House,Private room,$75.00,99,99,12.12
10232354,3/16/15,House,Private room,$50.00,48,95,11.8
8842198,10/10/15,House,Entire home/apt,$100.00,79,95,11.79
7499848,7/22/15,Apartment,Private room,$87.00,107,95,11.63
820227,12/2/12,Camper/RV,Entire home/apt,$145.00,475,96,11.5
3884769,8/15/14,House,Entire home/apt,$119.00,235,96,11.37
4988817,8/11/14,Apartment,Entire home/apt,$105.00,175,99,11.12
7967975,8/19/15,Camper/RV,Entire home/apt,$120.00,85,98,11.04
11885995,6/19/13,Apartment,Entire home/apt,$119.00,11,98,11
8988848,10/19/15,Apartment,Private room,$75.00,65,98,10.89
6438015,5/17/15,House,Entire home/apt,$99.00,122,98,10.8
5020186,2/9/14,House,Private room,$71.00,152,97,10.51
6835687,11/21/14,House,Entire home/apt,$99.00,113,98,10.5
10127664,12/22/15,Apartment,Entire home/apt,$131.00,45,96,10.47
8155116,3/16/15,Apartment,Entire home/apt,$100.00,83,93,10.33
10454154,11/26/13,Bungalow,Private room,$95.00,31,94,10.33
11103574,2/6/16,House,Private room,$40.00,28,91,10.24
11461383,7/24/14,House,Private room,$96.00,22,100,10.15
1990543,11/26/13,Other,Private room,$95.00,257,93,10.09
9911558,4/3/15,House,Entire home/apt,$149.00,45,97,10.07
1943502,6/19/13,Loft,Entire home/apt,$149.00,269,93,10.02
12176789,4/1/16,Apartment,Private room,$69.00,10,90,10
11515083,2/28/16,Apartment,Entire home/apt,$133.00,21,97,10
10747461,1/12/16,Apartment,Private room,$79.00,29,94,10
11987588,3/22/16,House,Private room,$99.00,12,100,10
5102836,1/19/15,House,Entire home/apt,$92.00,130,93,9.92
11118704,1/24/14,Apartment,Entire home/apt,$110.00,26,97,9.75
9564481,3/9/15,Apartment,Entire home/apt,$249.00,49,96,9.74
8307063,7/26/15,Loft,Entire home/apt,$299.00,70,96,9.72
8168268,9/1/15,Apartment,Entire home/apt,$135.00,76,97,9.7
5260532,2/4/15,House,Private room,$50.00,143,87,9.66
5153022,6/1/14,Cabin,Entire home/apt,$129.00,147,96,9.63
4662943,11/24/14,House,Private room,$79.00,149,98,9.63
7558748,7/26/15,House,Entire home/apt,$149.00,25,100,9.62
5872414,11/11/13,House,Entire home/apt,$99.00,96,94,9.6
8366440,2/4/15,House,Entire home/apt,$70.00,55,93,9.59
1077343,12/2/12,Camper/RV,Entire home/apt,$140.00,336,96,9.59
5683308,12/25/12,Apartment,Entire home/apt,$145.00,48,98,9.54
3910934,5/1/14,Apartment,Private room,$69.00,196,96,9.5
11047914,3/9/15,Apartment,Entire home/apt,$249.00,28,97,9.44
8151515,5/12/12,Cabin,Entire home/apt,$112.00,39,98,9.44
9578846,7/29/15,Apartment,Private room,$69.00,48,95,9.35
10477209,9/1/15,House,Private room,$80.00,29,100,9.35
8571568,9/4/15,House,Private room,$89.00,66,98,9.34
11229102,3/9/15,Apartment,Entire home/apt,$323.00,22,97,9.3
5019705,1/10/15,House,Private room,$75.00,145,95,9.26
11929554,3/20/16,House,Entire home/apt,$72.00,12,92,9.23
9189921,10/31/15,House,Private room,$44.00,56,93,9.23
11157580,6/7/15,Apartment,Entire home/apt,$144.00,20,96,9.23
8936053,10/8/10,House,Entire home/apt,$100.00,59,97,9.22
10749941,7/29/14,Apartment,Entire home/apt,$100.00,26,95,9.18
11010969,6/3/15,House,Private room,$55.00,25,92,9.15
4000913,7/29/14,Apartment,Entire home/apt,$75.00,185,97,9.14
11721443,3/9/16,House,Private room,$64.00,14,100,9.13
9755628,12/1/15,Apartment,Private room,$65.00,35,98,9.13
2546564,6/19/13,Apartment,Entire home/apt,$109.00,235,89,9.12
9239248,3/10/15,Apartment,Private room,$55.00,44,96,9.1
10635478,12/21/15,Apartment,Private room,$65.00,31,94,9.03
12124237,2/4/16,Apartment,Entire home/apt,$219.00,9,100,9
801336,7/28/11,Bed & Breakfast,Private room,$110.00,103,98,8.98
4205122,5/1/14,Apartment,Private room,$69.00,172,96,8.97
8069456,9/18/14,House,Private room,$69.00,71,97,8.95
528860,6/9/12,Apartment,Entire home/apt,$139.00,402,95,8.91
7112899,8/14/14,House,Entire home/apt,$134.00,89,97,8.9
7436028,5/14/14,Bungalow,Entire home/apt,$125.00,77,98,8.85
8513235,9/22/15,Apartment,Private room,$69.00,63,96,8.83
10886209,1/21/16,Apartment,Entire home/apt,$55.00,25,79,8.82
5918508,4/6/15,Apartment,Private room,$79.00,115,96,8.82
7998050,8/13/15,House,Private room,$69.00,74,97,8.81
11850946,7/11/14,Apartment,Entire home/apt,$499.00,12,100,8.78
5172479,7/20/12,House,Entire home/apt,$125.00,129,92,8.74
10857330,2/26/12,Bed & Breakfast,Private room,$95.00,16,99,8.73
6363691,5/4/15,Apartment,Entire home/apt,$107.00,103,95,8.73
9304169,11/6/15,Apartment,Entire home/apt,$55.00,25,97,8.72
8165426,8/4/15,Apartment,Entire home/apt,$115.00,70,83,8.71
11263665,6/5/12,Loft,Entire home/apt,$129.00,20,98,8.7
5286627,2/4/15,Apartment,Private room,$98.00,102,95,8.69
8867402,8/14/15,Apartment,Private room,$65.00,57,92,8.68
9413280,3/9/15,Apartment,Entire home/apt,$449.00,49,98,8.65
11677993,3/9/15,Apartment,Entire home/apt,$399.00,15,100,8.65
961535,1/22/13,House,Private room,$125.00,331,95,8.63
2514814,6/9/12,Apartment,Entire home/apt,$129.00,222,92,8.63
11071689,8/31/15,Apartment,Private room,$85.00,21,98,8.63
11048022,8/10/11,Apartment,Private room,$95.00,25,98,8.62
5917521,3/7/14,Apartment,Entire home/apt,$138.00,109,91,8.61
5651740,6/9/13,Apartment,Shared room,$43.00,117,95,8.58
5511645,7/29/14,Apartment,Entire home/apt,$75.00,121,98,8.56
6886435,8/31/12,Apartment,Private room,$59.00,88,97,8.54
4606226,7/29/14,Apartment,Private room,$75.00,150,97,8.54
3721550,7/17/14,Apartment,Entire home/apt,$156.00,181,97,8.54
900456,1/22/13,Yurt,Entire home/apt,$165.00,339,93,8.53
10661148,5/25/15,Apartment,Entire home/apt,$100.00,29,96,8.53
7918422,11/6/12,House,Private room,$89.00,73,97,8.52
11758188,8/1/15,House,Entire home/apt,$125.00,13,95,8.48
6120333,11/4/13,Apartment,Entire home/apt,$125.00,103,91,8.47
10766251,11/19/15,Apartment,Shared room,$35.00,27,98,8.44
7583199,4/29/14,Bungalow,Entire home/apt,$120.00,76,97,8.44
10746762,12/29/12,Apartment,Entire home/apt,$134.00,9,91,8.44
5204710,7/23/13,Apartment,Entire home/apt,$100.00,127,99,8.43
1506773,1/24/12,House,Private room,$76.00,279,89,8.42
