id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
12752588,4/28/16,Apartment,Entire home/apt,$100.00,23,,23
12041416,3/25/16,Apartment,Private room,$80.00,13,98,13
11847762,3/15/16,Apartment,Entire home/apt,$200.00,13,100,13
10101135,10/28/15,House,Private room,$44.00,51,97,12.05
8168619,7/2/15,House,Private room,$46.00,95,92,11.78
9145202,10/28/15,House,Private room,$44.00,51,95,11.68
12053251,7/11/15,Apartment,Private room,$40.00,13,100,11.47
11540522,9/18/15,House,Private room,$50.00,20,94,11.11
11689367,11/15/10,Apartment,Private room,$95.00,15,97,10.98
10553151,12/19/14,Apartment,Private room,$90.00,37,96,10.09
5478772,2/26/15,Hut,Private room,$55.00,140,93,9.77
3359768,10/7/10,House,Private room,$30.00,120,92,9.47
9351609,11/7/15,Apartment,Private room,$105.00,54,96,9.47
10132452,12/21/15,Apartment,Private room,$65.00,40,98,9.45
7675781,10/25/14,Apartment,Private room,$38.00,81,93,9.1
10130342,12/21/15,Apartment,Private room,$65.00,37,96,9.02
12208970,3/13/14,Apartment,Private room,$50.00,9,93,9
12026686,12/10/15,Apartment,Entire home/apt,$99.00,9,82,9
10143406,12/21/15,Apartment,Private room,$65.00,38,98,8.84
11611213,3/1/14,Apartment,Private room,$54.00,14,90,8.75
10124343,12/21/15,Apartment,Private room,$65.00,35,95,8.4
11530851,2/28/16,Apartment,Private room,$80.00,12,95,8.37
11068607,2/4/16,Apartment,Private room,$79.00,20,97,8.33
11410116,2/20/16,Apartment,Entire home/apt,$150.00,18,99,8.31
7053496,5/14/14,Apartment,Private room,$75.00,46,94,8.21
4257249,8/2/14,Apartment,Private room,$95.00,138,86,8.15
9476759,11/15/15,Apartment,Entire home/apt,$146.00,41,90,8.09
10060293,11/16/11,Apartment,Private room,$85.00,36,88,8.06
10652730,5/30/11,Apartment,Private room,$68.00,8,94,8
12094674,7/13/14,Apartment,Entire home/apt,$141.00,8,95,8
12089906,2/24/16,Apartment,Private room,$70.00,8,85,8
11178771,8/5/14,Apartment,Private room,$70.00,21,94,7.97
4244171,7/23/14,Bed & Breakfast,Private room,$40.00,145,95,7.94
3311412,8/29/13,Apartment,Private room,$65.00,133,96,7.93
903972,1/17/13,Apartment,Private room,$50.00,314,89,7.93
8881329,9/29/15,Apartment,Private room,$55.00,50,94,7.85
9576155,5/6/15,Apartment,Private room,$39.00,41,89,7.83
9828717,11/9/12,Apartment,Private room,$70.00,31,90,7.82
891117,1/17/13,Apartment,Private room,$50.00,310,90,7.81
9715198,5/14/15,Apartment,Private room,$64.00,10,94,7.69
11870905,3/16/16,Apartment,Entire home/apt,$159.00,10,94,7.69
6043315,1/5/14,House,Private room,$50.00,97,93,7.68
5021376,7/4/14,House,Private room,$45.00,11,96,7.67
10120206,12/21/15,Other,Private room,$69.00,33,78,7.67
11243444,2/10/16,Apartment,Shared room,$35.00,11,78,7.67
9543177,11/19/15,Apartment,Entire home/apt,$140.00,40,95,7.64
6067536,1/5/14,House,Entire home/apt,$65.00,95,92,7.62
8055778,8/1/15,House,Private room,$69.00,57,92,7.6
205043,8/22/11,Apartment,Private room,$150.00,57,97,7.6
11227558,2/12/16,Apartment,Entire home/apt,$171.00,19,98,7.6
10135523,12/21/15,Other,Private room,$69.00,31,85,7.56
9711313,4/11/14,House,Entire home/apt,$399.00,12,100,7.5
10366096,6/18/15,Apartment,Entire home/apt,$175.00,9,40,7.5
903947,1/17/13,Apartment,Private room,$50.00,288,90,7.46
9578438,5/6/15,Apartment,Shared room,$39.00,38,88,7.4
5094957,1/18/15,House,Private room,$55.00,109,98,7.38
9118994,5/6/15,Apartment,Shared room,$39.00,45,91,7.38
8814936,11/18/12,Apartment,Entire home/apt,$275.00,47,95,7.34
11736803,3/10/16,Apartment,Private room,$63.00,10,88,7.32
8365647,11/15/13,Condominium,Private room,$48.00,56,99,7.3
4261693,12/28/13,Apartment,Private room,$100.00,137,94,7.29
12037554,9/22/14,Apartment,Entire home/apt,$69.00,8,98,7.27
10090922,4/30/13,Apartment,Entire home/apt,$156.00,23,94,7.26
9843959,6/10/14,Apartment,Private room,$30.00,33,96,7.23
7670562,10/25/14,Apartment,Private room,$40.00,66,95,7.23
9137365,5/18/15,Apartment,Entire home/apt,$119.00,44,94,7.21
9429904,2/2/10,House,Entire home/apt,$649.00,26,97,7.16
11591840,3/2/16,House,Private room,$60.00,14,90,7.12
7886607,2/4/13,Apartment,Entire home/apt,$77.00,60,91,7.11
10163536,10/30/10,Apartment,Private room,$88.00,26,83,7.09
9365581,9/29/15,Apartment,Shared room,$27.00,40,96,7.06
7680709,5/21/15,Apartment,Private room,$120.00,63,90,7.05
10165064,7/26/15,Apartment,Entire home/apt,$165.00,27,98,7.04
11190511,10/18/15,Apartment,Entire home/apt,$111.00,11,93,7.02
12071282,8/27/11,Apartment,Private room,$104.00,7,97,7
11973417,2/26/16,Apartment,Entire home/apt,$650.00,7,100,7
6422875,5/16/15,Apartment,Private room,$55.00,77,91,6.98
6037761,7/3/13,Apartment,Private room,$149.00,88,99,6.97
3888752,8/16/14,Apartment,Entire home/apt,$175.00,143,97,6.95
10855464,7/7/11,Apartment,Private room,$49.00,18,100,6.92
4531110,6/1/13,Apartment,Private room,$125.00,123,95,6.88
