id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
6437264,5/17/15,Apartment,Entire home/apt,$175.00,53,91,11.52
6629798,12/7/11,House,Private room,$127.00,54,96,11.25
8118808,7/23/15,House,Private room,$120.00,18,89,10.59
7498479,8/25/12,Apartment,Private room,$120.00,33,96,10.42
7129539,5/15/15,Apartment,Entire home/apt,$119.00,40,90,10.26
4882295,11/16/14,House,Private room,$150.00,57,98,10.18
8688715,8/20/13,Apartment,Entire home/apt,$100.00,10,98,10
7984883,9/29/14,Apartment,Private room,$79.00,24,93,10
7989636,3/15/13,Condominium,Private room,$105.00,23,98,9.86
7311302,11/1/13,Apartment,Private room,$93.00,28,94,9.66
6201747,5/31/13,House,Private room,$76.00,54,79,9.53
7902889,11/27/12,Loft,Shared room,$81.00,15,97,9.38
5550248,3/4/15,House,Private room,$85.00,57,92,9.34
8070077,7/23/15,House,Private room,$100.00,20,90,9.23
4387067,10/9/14,House,Private room,$129.00,93,97,9.06
8613037,9/9/15,Apartment,Private room,$92.00,9,98,9
8196736,8/15/15,House,Private room,$70.00,17,95,8.95
7715542,8/4/15,Apartment,Entire home/apt,$150.00,16,88,8.89
7643927,7/31/15,House,Private room,$89.00,26,92,8.86
5091663,3/24/13,Apartment,Entire home/apt,$139.00,83,95,8.86
205842,6/15/10,Cabin,Entire home/apt,$190.00,349,98,8.73
5852204,4/1/15,House,Private room,$99.00,57,88,8.64
2587269,4/6/14,House,Entire home/apt,$350.00,163,99,8.64
4172638,4/19/13,Apartment,Private room,$115.00,14,97,8.57
5013816,10/9/14,House,Private room,$129.00,71,99,8.49
1995487,9/5/12,House,Private room,$199.00,196,100,8.44
4439461,10/9/14,House,Private room,$129.00,93,98,8.43
6107359,5/30/11,Apartment,Entire home/apt,$299.00,21,99,8.4
6145180,5/31/13,House,Private room,$85.00,48,80,8.37
6494663,5/22/15,House,Private room,$84.00,42,98,8.34
8202603,9/3/15,House,Entire home/apt,$280.00,14,96,8.24
6909057,7/28/14,Apartment,Private room,$85.00,33,88,8.18
3268637,1/26/14,Apartment,Private room,$65.00,137,93,8.15
7692170,7/2/11,House,Private room,$100.00,16,95,8.14
7178670,6/13/13,House,Private room,$200.00,10,96,8.11
8241372,9/5/15,Apartment,Private room,$149.00,14,96,8.08
6074750,4/19/15,House,Private room,$172.00,49,95,7.99
3534412,5/3/12,House,Private room,$69.00,127,87,7.99
4902907,12/25/14,Apartment,Private room,$98.00,81,84,7.97
5903014,6/27/14,Apartment,Private room,$89.00,54,96,7.94
8559388,9/25/15,Apartment,Private room,$175.00,9,98,7.94
1677907,8/16/13,House,Private room,$149.00,204,94,7.92
7344289,1/26/12,Apartment,Entire home/apt,$300.00,25,97,7.89
8386721,5/24/10,House,Entire home/apt,$400.00,10,100,7.89
6331646,5/9/15,Condominium,Private room,$147.00,36,99,7.88
5468024,6/27/14,Apartment,Private room,$99.00,64,93,7.87
3877356,7/5/12,Apartment,Private room,$94.00,111,93,7.87
5838639,2/22/15,Apartment,Private room,$100.00,40,98,7.84
6836011,5/11/15,Apartment,Private room,$125.00,29,94,7.84
7263500,7/4/15,House,Private room,$89.00,28,84,7.78
4069838,6/7/13,House,Entire home/apt,$145.00,101,95,7.77
8236377,9/5/15,Apartment,Entire home/apt,$250.00,15,92,7.76
4718531,11/28/12,House,Private room,$100.00,82,99,7.76
5144482,8/14/13,House,Entire home/apt,$159.00,42,100,7.73
8052872,7/23/15,House,Private room,$110.00,17,95,7.73
960593,11/12/10,Apartment,Private room,$90.00,246,88,7.71
3240016,4/6/14,Apartment,Entire home/apt,$264.00,127,96,7.7
7514742,7/23/15,Bed & Breakfast,Private room,$112.00,20,97,7.69
5696895,3/17/15,Apartment,Private room,$83.00,56,93,7.6
6331695,4/9/14,Apartment,Entire home/apt,$185.00,35,97,7.55
6869718,8/24/12,Apartment,Entire home/apt,$120.00,34,90,7.5
8118933,12/3/11,Apartment,Private room,$100.00,16,93,7.5
5606842,2/22/15,Apartment,Private room,$125.00,42,98,7.46
6423158,5/16/15,House,Entire home/apt,$139.00,40,99,7.45
3578499,12/5/13,House,Entire home/apt,$149.00,115,97,7.45
7333736,7/14/15,Condominium,Private room,$130.00,27,95,7.43
748222,4/17/11,Apartment,Private room,$100.00,268,97,7.4
8187662,9/2/15,House,Entire home/apt,$199.00,14,94,7.37
7949624,8/19/15,House,Private room,$127.00,14,96,7.37
3283447,9/6/11,Loft,Private room,$131.00,65,95,7.36
4701921,5/2/13,Apartment,Private room,$95.00,81,91,7.34
6559754,5/22/15,Apartment,Entire home/apt,$135.00,34,72,7.34
7729217,8/5/15,Condominium,Private room,$195.00,21,97,7.33
