id,host_since,property_type,room_type,price,number_of_reviews,review_scores_rating,reviews_per_month
6886633,12/13/14,Camper/RV,Entire home/apt,$75.00,81,95,12.15
8015531,2/1/14,Apartment,Entire home/apt,$114.00,40,95,11.01
5056580,8/6/10,House,Entire home/apt,$99.00,100,100,10.95
3861673,8/12/14,House,Private room,$71.00,175,99,10.61
6577295,8/1/14,Townhouse,Private room,$69.00,75,95,10.27
365550,8/27/11,Loft,Private room,$89.00,466,94,10.12
8372038,8/11/15,Apartment,Entire home/apt,$120.00,30,97,10
5705161,3/17/15,Apartment,Private room,$75.00,93,96,9.72
7483750,7/14/15,Bed & Breakfast,Private room,$63.00,53,94,9.7
7362757,9/4/13,House,Entire home/apt,$84.00,52,97,9.63
8637174,3/16/14,Apartment,Entire home/apt,$120.00,30,99,9.47
5160893,1/25/15,Apartment,Private room,$80.00,105,95,9.38
5241773,2/2/15,House,Private room,$59.00,95,98,9.34
3835995,8/9/14,House,Entire home/apt,$97.00,155,96,9.14
8027776,6/16/15,Apartment,Entire home/apt,$99.00,36,98,9.08
8755762,10/6/15,Apartment,Entire home/apt,$96.00,15,92,9
208356,8/27/11,Loft,Private room,$89.00,474,95,8.98
6246861,12/11/13,Apartment,Entire home/apt,$115.00,71,94,8.95
3487824,12/28/09,Apartment,Private room,$69.00,161,91,8.94
5259194,2/2/15,House,Private room,$69.00,94,99,8.73
8036985,8/11/15,Apartment,Entire home/apt,$168.00,37,98,8.67
3946160,8/23/14,House,Entire home/apt,$90.00,141,96,8.55
4598160,4/17/14,Apartment,Shared room,$67.00,106,99,8.5
7039427,6/28/15,House,Private room,$39.00,42,99,8.46
6927016,5/17/11,Apartment,Entire home/apt,$100.00,50,94,8.38
794633,3/26/12,House,Entire home/apt,$79.00,270,98,8.31
6783394,1/18/12,Apartment,Entire home/apt,$125.00,51,91,8.18
6344566,2/1/14,Apartment,Entire home/apt,$122.00,64,98,8.17
7902137,5/25/12,Apartment,Private room,$84.00,38,97,8.09
5031285,1/11/15,Other,Shared room,$40.00,66,93,8.05
5304739,3/10/14,Apartment,Entire home/apt,$49.00,82,94,8.01
3040278,4/28/14,Apartment,Entire home/apt,$217.00,156,97,7.96
7735282,12/11/13,Apartment,Entire home/apt,$99.00,9,98,7.94
2686374,4/26/12,House,Entire home/apt,$149.00,165,95,7.84
7922581,1/18/12,Apartment,Entire home/apt,$125.00,29,99,7.84
2110357,3/16/13,Apartment,Private room,$99.00,191,97,7.79
8691263,8/25/15,Apartment,Entire home/apt,$188.00,20,96,7.79
6838418,6/4/15,Apartment,Private room,$68.00,40,93,7.79
9294683,5/20/14,Apartment,Entire home/apt,$157.00,14,99,7.78
1856970,10/28/13,House,Private room,$70.00,183,97,7.75
7411863,5/26/14,House,Private room,$25.00,40,92,7.74
1279660,6/17/13,Cabin,Entire home/apt,$99.00,233,97,7.72
5548982,12/28/09,Apartment,Entire home/apt,$59.00,73,91,7.66
3522409,4/1/14,House,Entire home/apt,$141.00,29,94,7.63
3533224,8/21/13,House,Private room,$70.00,136,97,7.63
7391003,5/2/15,Apartment,Entire home/apt,$75.00,43,85,7.63
7884782,12/11/13,Apartment,Entire home/apt,$120.00,36,98,7.61
1758935,8/28/12,House,Private room,$62.00,206,95,7.6
5787922,3/26/15,Other,Entire home/apt,$120.00,57,96,7.6
841049,5/4/11,House,Private room,$58.00,279,95,7.59
6761267,6/9/15,House,Entire home/apt,$90.00,52,93,7.57
4236723,4/26/12,House,Entire home/apt,$195.00,113,94,7.53
8517602,9/14/15,House,Private room,$85.00,25,98,7.5
7013085,5/21/15,House,Entire home/apt,$99.00,47,90,7.5
3930270,8/21/14,Apartment,Private room,$58.00,117,94,7.45
7788695,4/10/15,House,Private room,$68.00,33,99,7.39
8035212,12/30/13,Apartment,Entire home/apt,$100.00,31,97,7.32
9436832,5/17/11,Apartment,Entire home/apt,$100.00,10,100,7.32
1790020,11/7/11,Apartment,Private room,$89.00,193,90,7.24
5562674,3/5/15,House,Entire home/apt,$79.00,71,95,7.2
6576006,2/6/15,Townhouse,Private room,$50.00,12,98,7.2
4082986,9/10/14,Apartment,Entire home/apt,$115.00,115,95,7.19
835149,5/4/11,House,Private room,$58.00,263,96,7.19
7228499,3/4/13,House,Entire home/apt,$349.00,34,92,7.18
1974131,10/2/13,House,Entire home/apt,$120.00,182,100,7.15
3615614,7/16/14,Apartment,Private room,$69.00,124,97,7.07
6424982,5/16/15,House,Private room,$80.00,52,92,7.06
674113,8/28/12,House,Private room,$42.00,190,96,7.06
4025593,9/2/14,Apartment,Private room,$40.00,107,97,7.02
5852034,4/15/13,Bed & Breakfast,Entire home/apt,$99.00,54,97,7.01
6675927,1/15/14,House,Private room,$58.00,49,95,7
9494415,8/25/15,Apartment,Entire home/apt,$69.00,7,100,7
7988436,5/22/13,House,Private room,$65.00,20,98,6.98
6939106,6/21/15,Apartment,Entire home/apt,$144.00,45,98,6.96
2154617,2/3/13,Apartment,Entire home/apt,$150.00,159,96,6.94
6646985,5/26/14,House,Private room,$35.00,49,93,6.93
4757025,9/22/13,House,Entire home/apt,$168.00,75,100,6.92
7800238,8/10/15,Cabin,Entire home/apt,$85.00,18,99,6.92
6939472,5/26/14,House,Private room,$35.00,44,93,6.91
5685646,3/16/15,House,Entire home/apt,$140.00,60,94,6.9
6856295,6/2/15,House,Private room,$65.00,46,97,6.87
3852117,10/15/13,Other,Entire home/apt,$39.00,101,94,6.86
7843995,12/11/13,Apartment,Entire home/apt,$129.00,32,96,6.86
5633607,1/22/13,Apartment,Private room,$39.00,66,95,6.83
6316934,4/16/15,Apartment,Entire home/apt,$75.00,53,95,6.82
6872650,6/16/14,Apartment,Private room,$65.00,35,98,6.73
8594717,7/27/15,Apartment,Entire home/apt,$139.00,19,97,6.71
5218550,8/13/14,Apartment,Private room,$87.00,71,98,6.7
3592838,7/14/14,Apartment,Entire home/apt,$175.00,114,93,6.68
3022564,2/9/14,Loft,Entire home/apt,$90.00,127,98,6.65
6961346,6/23/15,Apartment,Entire home/apt,$85.00,22,90,6.6
5760902,12/30/13,Apartment,Entire home/apt,$100.00,54,93,6.59
6707735,2/20/12,Apartment,Entire home/apt,$110.00,46,97,6.57
7902569,10/17/13,House,Private room,$72.00,30,96,6.57
8501705,6/14/15,Apartment,Entire home/apt,$74.00,22,92,6.53
3977605,9/28/10,Apartment,Entire home/apt,$85.00,102,88,6.47
2693700,4/1/14,Apartment,Entire home/apt,$115.00,125,98,6.47
6728419,6/20/14,House,Entire home/apt,$100.00,45,99,6.46
6674408,1/15/14,House,Private room,$48.00,45,99,6.43
719233,8/7/11,Apartment,Entire home/apt,$69.00,255,85,6.43
6870575,12/11/13,Apartment,Entire home/apt,$149.00,43,98,6.42
3418349,6/25/14,Apartment,Entire home/apt,$99.00,115,94,6.39
4593740,11/3/14,Apartment,Entire home/apt,$150.00,80,98,6.37
4777832,12/6/14,Loft,Entire home/apt,$170.00,80,99,6.35
7735313,12/11/13,Apartment,Entire home/apt,$129.00,31,97,6.33
4616634,11/18/14,Apartment,Entire home/apt,$105.00,72,99,6.33
5981343,9/18/14,Apartment,Entire home/apt,$160.00,48,98,6.32
7262142,4/28/15,Apartment,Entire home/apt,$65.00,27,99,6.28
20928,2/9/10,House,Entire home/apt,$79.00,44,97,6.23
7971334,9/1/14,House,Private room,$129.00,28,88,6.22
1472532,3/20/11,Apartment,Entire home/apt,$80.00,181,95,6.22
6647442,5/26/14,House,Private room,$55.00,41,93,6.21
4871348,11/7/14,House,Private room,$70.00,76,100,6.2
3697351,7/24/14,Apartment,Shared room,$35.00,108,87,6.16
6239907,9/9/13,Apartment,Private room,$99.00,46,97,6.16
9580021,11/5/13,Apartment,Entire home/apt,$85.00,8,100,6.15
5299060,2/1/15,Apartment,Entire home/apt,$65.00,60,96,6.14
1321090,6/12/12,Apartment,Entire home/apt,$95.00,180,96,6.12
7967844,5/21/12,House,Entire home/apt,$107.00,24,94,6.1
769213,11/4/12,House,Entire home/apt,$124.00,164,98,6.1
1707064,1/8/09,Apartment,Entire home/apt,$89.00,168,96,6.09
4118282,7/28/14,House,Entire home/apt,$80.00,88,95,6.07
279063,11/7/11,Apartment,Private room,$89.00,294,91,6.06
3908378,1/16/12,House,Entire home/apt,$96.00,101,96,6.06
1606171,8/31/13,Apartment,Private room,$38.00,166,93,6.04
2418658,2/18/14,Apartment,Entire home/apt,$155.00,135,92,6.02
5882923,4/3/15,Apartment,Entire home/apt,$95.00,54,99,6.02
9706229,5/20/14,Apartment,Entire home/apt,$179.00,6,87,6
9533648,9/1/15,Apartment,Entire home/apt,$103.00,7,91,6
9328278,11/7/15,House,Entire home/apt,$85.00,6,100,6
3316219,9/6/10,House,Entire home/apt,$115.00,106,77,5.99
5405643,1/1/14,House,Entire home/apt,$89.00,52,99,5.98
5078244,1/16/15,Apartment,Private room,$39.00,54,82,5.98
5615620,12/30/13,Apartment,Entire home/apt,$100.00,52,95,5.98
5195064,1/13/14,House,Private room,$50.00,64,93,5.98
2660384,2/1/14,Apartment,Entire home/apt,$100.00,123,90,5.98
7809595,7/12/15,Apartment,Private room,$76.00,28,98,5.96
2614387,9/7/11,House,Private room,$77.00,128,98,5.95
8409949,1/30/15,House,Private room,$36.00,19,94,5.94
8409969,1/30/15,House,Private room,$41.00,21,95,5.94
7430926,4/27/15,Apartment,Entire home/apt,$69.00,28,90,5.92
6044106,4/16/15,Apartment,Entire home/apt,$90.00,50,96,5.91
7995944,8/23/14,House,Entire home/apt,$90.00,25,96,5.91
6810430,7/12/12,House,Entire home/apt,$65.00,40,93,5.91
7636185,6/29/12,House,Entire home/apt,$90.00,24,98,5.9
3652434,3/4/14,House,Private room,$95.00,88,97,5.88
6747473,6/8/15,Apartment,Entire home/apt,$150.00,40,96,5.88
7529124,7/24/15,Apartment,Entire home/apt,$79.00,20,97,5.88
6423204,5/14/15,House,Entire home/apt,$115.00,44,91,5.87
6325685,7/10/14,House,Entire home/apt,$120.00,44,98,5.87
2027236,9/12/13,House,Private room,$60.00,144,93,5.85
6362918,8/24/14,Apartment,Entire home/apt,$145.00,45,95,5.84
7791010,8/9/15,Townhouse,Private room,$79.00,27,96,5.83
1476298,3/20/11,Apartment,Entire home/apt,$80.00,170,94,5.82
25002,4/2/10,House,Entire home/apt,$75.00,404,98,5.82
6108796,4/16/15,Apartment,Entire home/apt,$103.00,49,95,5.81
7153101,7/4/15,Townhouse,Entire home/apt,$92.00,34,97,5.8
6646843,6/2/15,Apartment,Entire home/apt,$99.00,28,89,5.79
397117,2/14/11,Apartment,Entire home/apt,$99.00,265,95,5.79
3441402,2/8/11,House,Entire home/apt,$65.00,106,95,5.78
2737038,5/15/11,House,Entire home/apt,$75.00,29,96,5.76
8098383,6/3/13,House,Entire home/apt,$75.00,23,97,5.75
3242605,6/24/12,House,Private room,$60.00,109,94,5.74
1796302,7/14/13,House,Private room,$65.00,150,98,5.74
2670365,3/29/14,House,Private room,$65.00,43,99,5.73
6156470,7/10/14,House,Private room,$90.00,43,97,5.71
7035498,7/26/14,Apartment,Entire home/apt,$129.00,31,98,5.71
6676926,2/2/12,Apartment,Entire home/apt,$127.00,35,99,5.71
2488228,3/2/14,House,Private room,$69.00,104,99,5.7
7344117,7/14/15,Loft,Entire home/apt,$425.00,32,96,5.68
92835,2/14/11,Apartment,Entire home/apt,$99.00,319,94,5.68
6361863,12/24/14,Apartment,Entire home/apt,$145.00,44,94,5.64
3031415,3/4/13,House,Entire home/apt,$275.00,107,95,5.63
8409941,1/30/15,House,Private room,$34.00,12,96,5.63
1100714,4/22/13,House,Private room,$75.00,134,80,5.63
7934963,4/3/13,House,Private room,$49.00,18,91,5.63
6466129,6/10/14,House,Entire home/apt,$92.00,41,94,5.62
9711153,9/3/15,Apartment,Shared room,$40.00,6,97,5.62
9508837,9/21/12,Loft,Entire home/apt,$99.00,6,100,5.62
3883137,6/16/13,House,Entire home/apt,$100.00,80,96,5.61
5362889,2/6/15,Apartment,Entire home/apt,$175.00,54,96,5.59
258571,8/7/11,Apartment,Entire home/apt,$79.00,278,89,5.57
609701,7/23/12,Cabin,Entire home/apt,$85.00,233,98,5.57
6821407,5/26/13,House,Private room,$47.00,38,95,5.56
7873789,1/24/12,House,Entire home/apt,$125.00,22,98,5.55
6118291,9/21/13,House,Private room,$95.00,46,97,5.54
8939306,1/30/15,House,Private room,$41.00,14,93,5.53
6482409,6/3/12,House,Entire home/apt,$105.00,39,97,5.52
2737012,4/7/14,House,Entire home/apt,$65.00,106,96,5.52
1950446,9/6/10,House,Entire home/apt,$129.00,136,84,5.49
6691873,5/19/15,Apartment,Entire home/apt,$90.00,39,95,5.49
4863369,4/1/14,House,Private room,$68.00,55,97,5.45
9327585,8/25/15,Apartment,Entire home/apt,$69.00,10,90,5.45
47196,8/25/10,House,Private room,$65.00,353,93,5.44
6087451,8/6/14,Apartment,Entire home/apt,$105.00,45,98,5.44
8053396,8/25/15,Apartment,Entire home/apt,$150.00,21,95,5.43
7561272,1/30/15,House,Private room,$47.00,28,94,5.42
8956631,6/16/15,Apartment,Entire home/apt,$90.00,13,95,5.42
6990882,5/7/15,House,Entire home/apt,$300.00,31,97,5.41
7922197,1/18/12,Apartment,Entire home/apt,$115.00,22,96,5.41
4026757,11/16/13,House,Private room,$55.00,86,97,5.38
5174876,1/26/15,House,Entire home/apt,$85.00,54,98,5.38
8939503,1/30/15,House,Private room,$44.00,14,96,5.38
8939595,1/30/15,House,Private room,$47.00,14,87,5.38
6118359,9/21/13,House,Private room,$70.00,38,98,5.38
7256122,9/21/12,House,Private room,$65.00,28,96,5.38
7007118,4/9/14,House,Entire home/apt,$100.00,10,92,5.36
4271221,10/5/14,House,Private room,$80.00,78,97,5.35
6475289,1/2/15,Apartment,Entire home/apt,$159.00,34,100,5.34
1928010,8/22/13,House,Private room,$79.00,132,95,5.34
4776823,5/24/14,Loft,Entire home/apt,$125.00,67,94,5.33
4694479,8/15/14,House,Private room,$57.00,50,96,5.32
7543458,2/2/15,Apartment,Entire home/apt,$89.00,25,98,5.32
